1024	4113	2.91027e+07
1033	175	2.88344e+07
1043	4644	2.87818e+07
1077	404	2.87893e+07
979	2452	2.92782e+07
997	2898	2.90164e+07
1020	701	2.91213e+07
1031	327	2.88644e+07
1050	3820	2.87467e+07
1018	983	2.87612e+07
1006	4444	2.8946e+07
988	1258	2.89122e+07
1012	1868	2.87812e+07
1014	1262	2.86679e+07
1013	597	2.8851e+07
1031	3897	2.8805e+07
996	157	2.89233e+07
1018	68	2.88738e+07
1022	3089	2.8788e+07
1024	3525	2.86092e+07
980	794	2.88635e+07
1032	289	2.88941e+07
1029	4980	2.89784e+07
1048	979	2.86847e+07
997	1490	2.86884e+07
956	817	2.87354e+07
1053	706	2.87861e+07
1013	2527	2.89663e+07
1014	3706	2.85064e+07
961	538	2.78626e+07
