1035	4330	2.82011e+07
1046	4506	2.82517e+07
1083	1893	2.83406e+07
1026	838	2.84374e+07
1038	2063	2.82305e+07
1054	3105	2.8313e+07
1031	1748	2.83694e+07
1050	3888	2.83254e+07
1064	157	2.85019e+07
1088	966	2.83263e+07
1020	3963	2.78713e+07
1040	3802	2.75419e+07
1058	3259	2.76136e+07
1056	186	2.76381e+07
1045	4160	2.75744e+07
1030	1536	2.7628e+07
1029	761	2.76042e+07
1042	2535	2.76347e+07
1051	2484	2.76367e+07
1051	2849	2.78221e+07
1033	739	2.83075e+07
1036	2059	2.83494e+07
1045	1274	2.81915e+07
1076	67	2.82614e+07
1062	2657	2.82235e+07
1062	663	2.82429e+07
1058	2048	2.8258e+07
1032	918	2.84332e+07
1027	1624	2.83071e+07
1051	4678	2.82387e+07
