1313	892	5.54066e+07
1293	4096	5.51227e+07
1277	3676	5.43368e+07
1377	2391	5.48793e+07
1357	184	5.50569e+07
1293	3359	5.4743e+07
1307	3607	5.48132e+07
1285	3193	5.6194e+07
1298	4152	5.63798e+07
1241	4908	5.62686e+07
1261	4441	5.5087e+07
1289	3516	5.46804e+07
1279	4150	5.54416e+07
1265	1143	5.58159e+07
1277	3310	5.61795e+07
1305	4093	5.60614e+07
1289	2990	5.59517e+07
1276	4906	5.58441e+07
1277	329	5.55017e+07
1229	3722	5.5338e+07
1312	2095	5.58295e+07
1281	2414	5.57027e+07
1269	2038	5.61684e+07
1272	4614	5.46744e+07
1290	4368	5.4635e+07
1318	1531	5.53129e+07
1315	606	5.46696e+07
1324	1400	5.45658e+07
1305	2237	5.46985e+07
1272	4318	5.49468e+07
