770	4887	8.35129e+07
769	4015	8.35379e+07
734	4283	8.31175e+07
724	4250	8.33786e+07
734	4316	8.34292e+07
738	4730	8.34006e+07
760	4547	8.3263e+07
738	3793	8.3578e+07
741	2913	8.27433e+07
765	3582	8.41784e+07
767	3868	8.36892e+07
747	2594	8.35751e+07
729	3954	8.30381e+07
748	4192	8.33126e+07
778	919	8.33711e+07
735	3313	8.3829e+07
753	2931	8.12206e+07
745	2913	8.22637e+07
774	3979	8.40287e+07
748	4946	8.4555e+07
748	3585	8.37718e+07
739	3442	8.34336e+07
728	3936	8.54107e+07
754	2554	8.49391e+07
748	3444	8.45272e+07
759	4532	8.61243e+07
744	4335	8.47247e+07
768	3615	8.5186e+07
772	4444	8.37862e+07
757	1008	8.52541e+07
